,id,mdate,stadium,team1,team2
0,1001,8 June 2012,"National Stadium, Warsaw",POL,GRE
1,1002,8 June 2012,Stadion Miejski (Wroclaw),RUS,CZE
2,1003,12 June 2012,Stadion Miejski (Wroclaw),GRE,CZE
3,1004,12 June 2012,"National Stadium, Warsaw",POL,RUS
4,1005,16 June 2012,Stadion Miejski (Wroclaw),CZE,POL
5,1006,16 June 2012,"National Stadium, Warsaw",GRE,RUS
6,1007,9 June 2012,Metalist Stadium,NED,DEN
7,1008,9 June 2012,Arena Lviv,GER,POR
8,1009,13 June 2012,Arena Lviv,DEN,POR
9,1010,13 June 2012,Metalist Stadium,NED,GER
10,1011,17 June 2012,Metalist Stadium,POR,NED
11,1012,17 June 2012,Arena Lviv,DEN,GER
12,1013,10 June 2012,PGE Arena Gdansk,ESP,ITA
13,1014,10 June 2012,Stadion Miejski (Poznan),IRL,CRO
14,1015,14 June 2012,Stadion Miejski (Poznan),ITA,CRO
15,1016,14 June 2012,PGE Arena Gdansk,ESP,IRL
16,1017,18 June 2012,PGE Arena Gdansk,CRO,ESP
17,1018,18 June 2012,Stadion Miejski (Poznan),ITA,IRL
18,1019,11 June 2012,Donbass Arena,FRA,ENG
19,1020,11 June 2012,Olimpiyskiy National Sports Complex,UKR,SWE
20,1021,15 June 2012,Donbass Arena,UKR,FRA
21,1022,15 June 2012,Olimpiyskiy National Sports Complex,SWE,ENG
22,1023,19 June 2012,Donbass Arena,ENG,UKR
23,1024,19 June 2012,Olimpiyskiy National Sports Complex,SWE,FRA
24,1025,21 June 2012,"National Stadium, Warsaw",CZE,POR
25,1026,22 June 2012,PGE Arena Gdansk,GER,GRE
26,1027,23 June 2012,Donbass Arena,ESP,FRA
27,1028,24 June 2012,Olimpiyskiy National Sports Complex,ENG,ITA
28,1029,27 June 2012,Donbass Arena,POR,ESP
29,1030,28 June 2012,"National Stadium, Warsaw",GER,ITA
30,1031,1 July 2012,Olimpiyskiy National Sports Complex,ESP,ITA 
