,matchid,teamid,player,gtime
0,1001,POL,Robert Lewandowski,17
1,1001,GRE,Dimitris Salpingidis,51
2,1002,RUS,Alan Dzagoev,15
3,1002,RUS,Alan Dzagoev,79
4,1002,RUS,Roman Shirokov,24
5,1002,RUS,Roman Pavlyuchenko,82
6,1002,CZE,Václav Pilar,52
7,1003,GRE,Theofanis Gekas,53
8,1003,CZE,Petr Jirácek,3
9,1003,CZE,Václav Pilar,6
10,1004,POL,Jakub Blaszczykowski,57
11,1004,RUS,Alan Dzagoev,37
12,1005,CZE,Petr Jirácek,72
13,1006,GRE,Giorgos Karagounis,45
14,1007,DEN,Michael Krohn-Dehli,24
15,1008,GER,Mario Gómez,72
16,1009,DEN,Nicklas Bendtner,41
17,1009,DEN,Nicklas Bendtner,80
18,1009,POR,Pepe (footballer born 1983),24
19,1009,POR,Hélder Postiga,36
20,1009,POR,Silvestre Varela,87
21,1010,NED,Robin van Persie,73
22,1010,GER,Mario Gómez,24
23,1010,GER,Mario Gómez,38
24,1011,POR,Cristiano Ronaldo,28
25,1011,POR,Cristiano Ronaldo,74
26,1011,NED,Rafael van der Vaart,11
27,1012,DEN,Michael Krohn-Dehli,24
28,1012,GER,Lukas Podolski,19
29,1012,GER,Lars Bender,80
30,1013,ESP,Cesc Fàbregas,64
31,1013,ITA,Antonio Di Natale,61
32,1014,IRL,Sean St Ledger,19
33,1014,CRO,Mario Mandžukic,3
34,1014,CRO,Mario Mandžukic,49
35,1014,CRO,Nikica Jelavic,43
36,1015,ITA,Andrea Pirlo,39
37,1015,CRO,Mario Mandžukic,72
38,1016,ESP,Fernando Torres,4
39,1016,ESP,Fernando Torres,70
40,1016,ESP,David Silva,49
41,1016,ESP,Cesc Fàbregas,83
42,1017,ESP,Jesús Navas,88
43,1018,ITA,Antonio Cassano,35
44,1018,ITA,Mario Balotelli,90
45,1019,FRA,Samir Nasri,39
46,1019,ENG,Joleon Lescott,30
47,1020,UKR,Andriy Shevchenko,55
48,1020,UKR,Andriy Shevchenko,62
49,1020,SWE,Zlatan Ibrahimovic,52
50,1021,FRA,Jérémy Ménez,53
51,1021,FRA,Yohan Cabaye,56
52,1022,SWE,Glen Johnson (English footballer),49
53,1022,SWE,Olof Mellberg,59
54,1022,ENG,Andy Carroll,23
55,1022,ENG,Theo Walcott,64
56,1022,ENG,Danny Welbeck,78
57,1023,ENG,Wayne Rooney,48
58,1024,SWE,Zlatan Ibrahimovic,54
59,1024,SWE,Sebastian Larsson,90
60,1025,POR,Cristiano Ronaldo,79
61,1026,GER,Philipp Lahm,39
62,1026,GER,Sami Khedira,61
63,1026,GER,Miroslav Klose,68
64,1026,GER,Marco Reus,74
65,1026,GRE,Georgios Samaras,55
66,1026,GRE,Dimitris Salpingidis,89
67,1027,ESP,Xabi Alonso,19
68,1027,ESP,Xabi Alonso,90
69,1030,GER,Mesut Özil,90
70,1030,ITA,Mario Balotelli,20
71,1030,ITA,Mario Balotelli,36
72,1031,ESP,David Silva,14
73,1031,ESP,Jordi Alba,41
74,1031,ESP,Fernando Torres,84
75,1031,ESP,Juan Mata,88
